,Income
20,13.378495794638349
21,18.72595173274458
22,24.073407670850813
23,29.420863608957042
24,34.76831954706328
25,39.541635510934796
26,44.513063048627394
27,49.799984864311
28,55.16486400126379
29,59.70479585558519
30,64.25238846812317
31,68.36753109451077
32,72.32427712157103
33,76.07879845069615
34,79.17340347735255
35,82.64031976863744
36,85.2941051405478
37,87.1423735290923
38,89.18661905770699
39,90.44546827523438
40,91.33075851409377
41,92.25294796533389
42,92.76311693433658
43,93.12507862151743
44,93.15385615780765
45,93.516193732474
46,94.20868926059725
47,93.92360987953232
48,94.29848755346794
49,94.2909542967045
50,94.23216992951524
51,93.65469847129593
52,93.9805162948403
53,92.58719735268537
54,92.30867529072341
55,90.35666480401684
56,89.30021910648891
57,86.27355646145503
58,83.62504444473609
59,79.46396247752301
60,75.63723767141978
61,70.77055698247112
62,65.86174000634382
63,60.17673265141753
64,54.676526593377574
65,48.38547057377629
66,42.64621882473195
67,37.36558582809895
68,32.648316540831786
69,28.195603984807963
70,24.126672874651007
71,20.923631613230437
72,17.288091778720645
73,15.302462723490388
74,13.260827173158981
75,12.159107030556484
76,10.60832588577534
77,9.558368827602362
78,8.508411769429383
79,7.458454711256403
80,6.408497653083424
